rhor,xne,xni,xte,xti,vpold,vtord,xer,,,,,,,,,,,,,,,,,,,,,,,,,
4.25E-01,5.91055E+19,3.91084E+19,1464.364,1595.5645,-430.7387,146640.69,37293.163,,,,,,,,,,,,,,,,,,,,,,,,,
4.30E-01,5.87885E+19,3.87417E+19,1455.643,1581.8193,-446.12236,145693.68,37208.889,,,,,,,,,,,,,,,,,,,,,,,,,
4.35E-01,5.84812E+19,3.83918E+19,1446.8522,1568.1322,-461.87092,144748.27,37118.706,,,,,,,,,,,,,,,,,,,,,,,,,
4.40E-01,5.81838E+19,3.80602E+19,1437.9949,1554.5051,-477.97681,143805.72,37014.427,,,,,,,,,,,,,,,,,,,,,,,,,
4.45E-01,5.78967E+19,3.77484E+19,1429.0741,1540.9679,-494.45593,142866.64,36898.705,,,,,,,,,,,,,,,,,,,,,,,,,
4.50E-01,5.76122E+19,3.74439E+19,1420.1324,1527.5018,-511.31258,141930,36778.519,,,,,,,,,,,,,,,,,,,,,,,,,
4.55E-01,5.73356E+19,3.71556E+19,1411.128,1514.1182,-528.55121,140996.2,36652.13,,,,,,,,,,,,,,,,,,,,,,,,,
4.60E-01,5.7069E+19,3.68869E+19,1402.0641,1500.8487,-546.1635,140066.8,36515.11,,,,,,,,,,,,,,,,,,,,,,,,,
4.65E-01,5.68126E+19,3.66382E+19,1392.9477,1487.6609,-564.16597,139142.38,36368.225,,,,,,,,,,,,,,,,,,,,,,,,,
4.70E-01,5.65666E+19,3.64099E+19,1383.807,1474.5807,-582.56296,138220.61,36221.455,,,,,,,,,,,,,,,,,,,,,,,,,
4.75E-01,5.63313E+19,3.62024E+19,1374.6113,1461.6387,-601.35878,137303.47,36073.864,,,,,,,,,,,,,,,,,,,,,,,,,
4.80E-01,5.6098E+19,3.6005E+19,1365.3637,1448.7864,-620.54424,136392.24,35936.703,,,,,,,,,,,,,,,,,,,,,,,,,
4.85E-01,5.5871E+19,3.58243E+19,1356.0792,1436.0693,-640.13727,135487.51,35791.656,,,,,,,,,,,,,,,,,,,,,,,,,
4.90E-01,5.5654E+19,3.56636E+19,1346.7633,1423.5143,-660.13944,134585.23,35648.949,,,,,,,,,,,,,,,,,,,,,,,,,
4.95E-01,5.54469E+19,3.5521E+19,1337.4006,1411.0581,-680.55485,133689.75,35497.772,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-01,5.52501E+19,3.5395E+19,1327.9943,1398.7655,-701.38772,132801.7,35340.118,,,,,,,,,,,,,,,,,,,,,,,,,
5.05E-01,5.50635E+19,3.52839E+19,1318.5659,1386.652,-722.6423,131920.63,35176.09,,,,,,,,,,,,,,,,,,,,,,,,,
5.10E-01,5.48874E+19,3.51858E+19,1309.1007,1374.6395,-744.32282,131043.48,35014.801,,,,,,,,,,,,,,,,,,,,,,,,,
5.15E-01,5.47217E+19,3.50993E+19,1299.597,1362.8064,-766.43352,130174.67,34846.016,,,,,,,,,,,,,,,,,,,,,,,,,
5.20E-01,5.45667E+19,3.50224E+19,1290.066,1351.1485,-788.97075,129314.81,34670.166,,,,,,,,,,,,,,,,,,,,,,,,,
5.25E-01,5.44059E+19,3.49319E+19,1280.5114,1339.5787,-811.94645,128462.02,34493.664,,,,,,,,,,,,,,,,,,,,,,,,,
5.30E-01,5.4255E+19,3.48523E+19,1270.924,1328.18,-835.36487,127614.96,34315.35,,,,,,,,,,,,,,,,,,,,,,,,,
5.35E-01,5.41139E+19,3.47831E+19,1261.3088,1316.9459,-859.23026,126777.71,34151.249,,,,,,,,,,,,,,,,,,,,,,,,,
5.40E-01,5.39822E+19,3.47239E+19,1251.6791,1305.793,-883.54518,125950.95,33984.047,,,,,,,,,,,,,,,,,,,,,,,,,
5.45E-01,5.38598E+19,3.46742E+19,1242.0224,1294.8,-908.31587,125131.55,33819.992,,,,,,,,,,,,,,,,,,,,,,,,,
5.50E-01,5.37466E+19,3.46336E+19,1232.3424,1283.9606,-933.54564,124319.37,33658.222,,,,,,,,,,,,,,,,,,,,,,,,,
5.55E-01,5.36423E+19,3.46016E+19,1222.6511,1273.1966,-959.23832,123518.51,33489.574,,,,,,,,,,,,,,,,,,,,,,,,,
5.60E-01,5.35468E+19,3.45778E+19,1212.9402,1262.5814,-985.39813,122729.6,33313.625,,,,,,,,,,,,,,,,,,,,,,,,,
5.65E-01,5.34599E+19,3.45618E+19,1203.2122,1252.1089,-1012.0293,121948.94,33142.04,,,,,,,,,,,,,,,,,,,,,,,,,
5.70E-01,5.33813E+19,3.4553E+19,1193.4754,1241.7053,-1039.136,121176.36,32973.557,,,,,,,,,,,,,,,,,,,,,,,,,
5.75E-01,5.3311E+19,3.45511E+19,1183.726,1231.4389,-1066.7224,120416.57,32804.337,,,,,,,,,,,,,,,,,,,,,,,,,
5.80E-01,5.32486E+19,3.45555E+19,1173.9659,1221.3038,-1094.7928,119670.21,32630.348,,,,,,,,,,,,,,,,,,,,,,,,,
