zbar2,exlti,gammahat,bthet,exlte,qhatHeati,Snbi,exlni,xne,xer,eiolC,xnC,vtorC,vtorD,vtorDhat,xmomtor1,xmomtor2,xte,xnuioni,xnuati,vpolD,y22,qhatHeate,nudrag,vtorChat,fiolC,miol,rhor,miolC,fiol,intrin,intrinC,eiol,qHeati,fz1,qnbi,q,vpolC,gamC,xti,xni,fracz,y11,qHeate,gamma
6.0,0.25044841000000001,9.8154851303543009e+18,0.077012522361359567,0.43509326999999998,13425.440732414685,2.9516309690212839e+19,1.1168388,3.46e+19,30800.0,0.0008904649580076387,2.4833333333333334e+17,77700.0,84819.277921959409,41894.600686659462,0.051790853721386386,0.00040444639436512431,1270.0,0.0,0.0,-2220.0,0.0099404463943651242,0.0,45.348988024561734,77530.674580456543,0.00017015969947312536,0.10795126034166842,0.41000000000000003,0.0010430820321464715,0.062492781164206382,42924.677235299947,169.32541954345683,0.10995792321732337,13409.688260703741,1.49e+18,60480.706064443933,0.86699999999999999,-888.0,0.0,1300.0,3.18e+19,0.025000000000000001,0.37625729661562685,0.0,9.8004387483388314e+18
6.0,0.24748147000000001,9.8395172883846246e+18,0.077951699463327376,0.43096055,13556.941053204724,2.9131382567214928e+19,1.1267033,3.44e+19,30700.0,0.00090140950456344359,2.4833333333333334e+17,77300.0,84310.744110305386,41646.490236399208,0.051354159319961339,0.00040230124809012828,1260.0,0.0,0.0,-2300.0,0.0099383012480901284,0.0,45.814241814364351,77129.933388764432,0.0001725502889495079,0.10813132511709138,0.41500000000000004,0.0010558009620858309,0.062666360804598767,42664.253873906178,170.06661123557507,0.11016139411326181,13544.076870336359,1.49e+18,60021.424745018398,0.877,-920.0,0.0,1280.0,3.17e+19,0.025000000000000001,0.37695529444450088,0.0,9.828018085893716e+18
6.0,0.24475074999999999,9.8624847214298112e+18,0.07889087656529517,0.42692796,13688.354869918885,2.8756819008700625e+19,1.1358235000000001,3.43e+19,30500.0,0.00091338096883055461,2.4833333333333334e+17,76800.0,83793.21979240622,41218.794969746777,0.051110967117545404,0.00040166319095539377,1250.0,0.0,0.0,-2385.0,0.0099376631909553932,0.0,46.367843525400886,76628.367716191555,0.00017517301900627348,0.10832764053312774,0.41999999999999998,0.0010697076487940144,0.062855627620744786,42574.424822659443,171.63228380844765,0.11038436165823717,13678.630271784072,1.49e+18,59787.568515506056,0.88700000000000001,-954.0,0.0,1270.0,3.16e+19,0.025000000000000001,0.37784057748321398,0.0,9.8548019656289628e+18
6.0,0.24229191,9.8857710051006792e+18,0.079830053667262965,0.42307809000000002,13820.819866036565,2.8392465717049008e+19,1.1444877,3.42e+19,30300.0,0.00092241303296034004,2.4833333333333334e+17,76300.0,83185.97032828207,40893.817061340436,0.050680578296514622,0.00039954529979791952,1240.0,0.0,0.0,-2472.5,0.0099355452997979196,0.0,46.909713953617356,76128.052973730926,0.00017715452359329012,0.10846687947679988,0.42499999999999999,0.0010802086310956608,0.062991429418570305,42292.153266941634,171.94702626907667,0.11054016617856757,13813.317127646429,1.49e+18,59334.008727118118,0.89700000000000002,-989.0,0.0,1250.0,3.15e+19,0.025000000000000001,0.37854963907722811,0.0,9.8808254475597496e+18
6.0,0.23994853999999999,9.9142086069378724e+18,0.080769230769230774,0.41911167999999999,13959.699346427058,2.8038169394639274e+19,1.1519431,3.41e+19,30100.0,0.00091498445632110035,2.5e+17,75900.0,82627.705145099084,40745.0237517157,0.050438052462792413,0.00040157685081841096,1230.0,0.0,0.0,-2550.0,0.01000157685081841,0.0,47.430918879155215,75730.787459289189,0.00017554516554971208,0.10828649017523244,0.42999999999999999,0.0010716376687206972,0.062827827113800999,41882.681393383384,169.21254071080693,0.11031985776088606,13949.274079849311,1.5e+18,59102.772403223906,0.90700000000000003,-1020.0,0.0,1230.0,3.14e+19,0.025000000000000001,0.37952013292168185,0.0,9.906122975375274e+18
6.0,0.23781146,9.9409434695981609e+18,0.081708407871198568,0.41517733000000001,14098.790149819743,2.7693776743850488e+19,1.1581642999999999,3.4e+19,29900.0,0.00091033330660705391,2.5e+17,75400.0,82095.608630023911,40432.36796500723,0.050167892964756412,0.00040070202048527489,1230.0,0.0,0.0,-2650.0,0.010000702020485273,0.0,48.016127007681838,75232.31850477129,0.00017454255134998316,0.10815970325524836,0.435,0.0010662847619819415,0.062714455145410977,41663.240665016681,167.68149522870561,0.11016268226006122,14086.315640499606,1.5e+18,58835.543539303173,0.91700000000000004,-1060.0,0.0,1220.0,3.13e+19,0.025000000000000001,0.38044927914690913,0.0,9.9307283766189486e+18
6.0,0.23595251,9.9604717149898424e+18,0.082647584973166377,0.41144188999999998,14232.455161806407,2.7359134467061842e+19,1.1641918,3.39e+19,29700.0,0.00092405590424428613,2.5e+17,74900.0,81490.336674338512,40082.977438547576,0.049776104331247226,0.0003988469898337117,1220.0,0.0,0.0,-2750.0,0.0099988469898337103,0.0,48.585398848667332,74731.213226429856,0.00017755378104033308,0.10838751670573885,0.44,0.001082220530990409,0.062933376171530234,41407.359235790937,168.78677357014598,0.11042315528613438,14223.752558708109,1.5e+18,58424.952842616731,0.92800000000000005,-1100.0,0.0,1200.0,3.12e+19,0.025000000000000001,0.38116953352123811,0.0,9.9546748628563149e+18
6.0,0.23423873000000001,9.9793695603077632e+18,0.083586762075134172,0.40759968000000002,14366.159906402552,2.7034089266652381e+19,1.1680816000000001,3.38e+19,29500.0,0.00093794558527445025,2.5e+17,74400.0,80885.947153208981,39737.896267884687,0.049509649529843221,0.00039798753641353071,1210.0,0.0,0.0,-2825.0,0.0099979875364135298,0.0,49.179733341119544,74230.131241868541,0.00018060343362562978,0.10861770433420034,0.44500000000000001,0.0010983493272579479,0.063154634622484759,41148.050885324294,169.86875813146028,0.11068649976916069,14361.26052319094,1.5e+18,58160.758185517901,0.93799999999999994,-1130.0,0.0,1180.0,3.11e+19,0.025000000000000001,0.38201255978540821,0.0,9.9779950298316411e+18
6.0,0.23270856000000001,9.9973452096341197e+18,0.084525939177101966,0.40377329000000001,14498.931149582315,2.671848784500131e+19,1.1705361999999999,3.37e+19,29200.0,0.00095317193344807128,2.5166666666666666e+17,73900.0,80319.796093112571,39252.474981877174,0.04912220202395727,0.00039750549333427375,1200.0,0.0,0.0,-2925.0,0.010061505493334273,0.0,49.68948866089066,73728.130885485923,0.00018396046937050044,0.10886688538642984,0.45000000000000001,0.0011160223415980616,0.06339459247212148,41067.321111235397,171.86911451407786,0.11097281590781216,14498.153182218035,1.51e+18,57755.303454684887,0.94899999999999995,-1170.0,0.0,1170.0,3.11e+19,0.025000000000000001,0.38336780092348133,0.0,1.0000720857614074e+19
6.0,0.23145056999999999,1.0014760807759208e+19,0.085465116279069761,0.40006149000000002,14631.975148375479,2.6412176904487703e+19,1.17195,3.36e+19,29000.0,0.00096855044709934592,2.5166666666666666e+17,73400.0,79715.0886645149,38906.325841654267,0.04888907247678085,0.00039689515827924239,1190.0,0.0,0.0,-3025.0,0.010060895158279241,0.0,50.304940420887895,73226.881054511061,0.00018735280075549707,0.10911811715217849,0.45500000000000002,0.0011338710266751702,0.063636590729375359,40808.762822860634,173.11894548894264,0.1112616204784764,14635.346474808557,1.51e+18,57529.028185275834,0.95999999999999996,-1210.0,0.0,1150.0,3.1e+19,0.025000000000000001,0.38423510398753469,0.0,1.002288371073416e+19
6.0,0.23039545,1.0031282426641127e+19,0.086404293381037556,0.39636690000000002,14764.776331554,2.6115003147490726e+19,1.1722176,3.34e+19,28700.0,0.00098545061552715737,2.5166666666666666e+17,72800.0,79098.300106275536,38366.170079671458,0.048626706806729807,0.0003960427577031391,1180.0,0.0,0.0,-3125.0,0.010060042757703138,0.0,50.994551821634381,72624.655088997533,0.00019109808854175333,0.10938985605311868,0.46000000000000002,0.0011534764191222287,0.063898993062800696,40732.130026604078,175.3449110024622,0.11157530936926842,14772.650299102375,1.51e+18,57267.864853450781,0.97099999999999997,-1250.0,0.0,1140.0,3.09e+19,0.025000000000000001,0.38506604597145722,0.0,1.0044514338311461e+19
6.0,0.22956494999999999,1.0047901623168049e+19,0.087343470483005364,0.39265825999999998,14898.684499288442,2.5826813276389462e+19,1.1709666000000001,3.33e+19,28500.0,0.0010007247569212327,2.5166666666666666e+17,72300.0,78489.027954599223,38026.399434662453,0.04824761553791241,0.00039423105769614575,1170.0,0.0,0.0,-3225.0,0.010058231057696146,0.0,51.612415780292061,72123.529608582627,0.0001944841432374785,0.10963202489111,0.46500000000000002,0.0011711993370105689,0.06413342377871975,40462.62851993677,176.47039141737986,0.1118540496694905,14910.544518244777,1.51e+18,56868.534117346782,0.98199999999999998,-1290.0,0.0,1120.0,3.08e+19,0.025000000000000001,0.38578659135220361,0.0,1.0065642874173929e+19
6.0,0.22900090000000001,1.0071394885833329e+19,0.088282647584973173,0.38903303,15039.57676658687,2.5547453993563091e+19,1.1680629,3.32e+19,28200.0,0.00099462825730049168,2.5333333333333334e+17,71800.0,77835.210901282218,37789.055705574938,0.047986278771253658,0.00039597797900274464,1160.0,0.0,0.0,-3350.0,0.010123977979002743,0.0,52.270782156361726,71626.160313783897,0.00019314884874336587,0.10948555861605878,0.47000000000000003,0.0011641811606986053,0.064000227521698899,40046.155195707281,173.83968621610157,0.111673465636508,15048.648532201276,1.52e+18,56610.348145607022,0.99299999999999999,-1340.0,0.0,1100.0,3.07e+19,0.025000000000000001,0.38672698363447361,0.0,1.0086298836969681e+19
6.0,0.22867625999999999,1.0093983562424103e+19,0.089221824686940968,0.38538280000000003,15180.443685068396,2.5276772001390678e+19,1.1637812000000001,3.31e+19,27900.0,0.00098981938837723518,2.5333333333333334e+17,71200.0,77203.858741546021,37385.082788370681,0.047757245504291855,0.00039537588870655567,1150.0,0.0,0.0,-3450.0,0.010123375888706555,0.0,53.016684214916495,71027.773941289663,0.00019209893785812618,0.10936214293089822,0.47500000000000003,0.0011586535441056114,0.063888879413572769,39818.77595317534,172.22605871034065,0.1115201541984851,15187.138315313643,1.52e+18,56386.735650063274,1.01,-1380.0,0.0,1090.0,3.06e+19,0.025000000000000001,0.38769382659220653,0.0,1.0106511130271689e+19
6.0,0.22856404,1.0107931502719105e+19,0.090161001788908762,0.38169020999999997,15313.030081729774,2.5014614002251407e+19,1.1588335000000001,3.31e+19,27600.0,0.0010092179765666921,2.5333333333333334e+17,70600.0,76489.868386412752,36926.286144929269,0.047357680903346022,0.00039206794647650303,1140.0,0.0,0.0,-3550.0,0.010120067946476501,0.0,53.651328399750547,70426.048413881857,0.0001964142388196984,0.10967207833568157,0.47999999999999998,0.0011811484502292503,0.064188276504667546,39563.582241483484,173.95158611813818,0.11187956754570262,15325.053226264094,1.52e+18,55959.584086906594,1.02,-1420.0,0.0,1070.0,3.06e+19,0.025000000000000001,0.38901227775115793,0.0,1.012630804267595e+19
6.0,0.22886403999999999,1.0121253105869507e+19,0.091100178890876557,0.37821968,15444.643394890889,2.4760826698524377e+19,1.1565022,3.3e+19,27300.0,0.0010295379193417575,2.55e+17,70100.0,75935.50867896741,36440.572218002431,0.047129264509287269,0.0003940315557333854,1130.0,0.0,0.0,-3675.0,0.010186031555733385,0.0,54.330125761633404,69923.409677706222,0.00020093748496712748,0.10999700032454399,0.48499999999999999,0.001204708422902055,0.064502110623921916,39494.936460964978,176.59032229377635,0.11225683697966757,15462.259091148619,1.53e+18,55738.509512513832,1.03,-1470.0,0.0,1060.0,3.05e+19,0.025000000000000001,0.38985693947641559,0.0,1.0145717247893561e+19
6.0,0.22940764,1.0125019079100574e+19,0.092039355992844366,0.37465222999999997,15568.001850527244,2.4515256792588702e+19,1.1564288,3.29e+19,27000.0,0.0010793412088562974,2.55e+17,69500.0,75330.807684043626,35735.118466407454,0.046903648353169167,0.00039343520822559663,1120.0,0.0,0.0,-3800.0,0.010185435208225596,0.0,55.080465494464164,69315.835196337823,0.00021211497706197628,0.11080149300393603,0.48999999999999999,0.0012623505251481654,0.065277929644283278,39595.689217636173,184.164803662183,0.11320550118955003,15599.933190523287,1.53e+18,55517.286620635328,1.04,-1520.0,0.0,1050.0,3.04e+19,0.025000000000000001,0.39056768602607778,0.0,1.0164765804837183e+19
6.0,0.23029363,1.0128676342640564e+19,0.09297853309481216,0.37113690999999999,15691.784302468674,2.4277750986823537e+19,1.1593684,3.28e+19,26700.0,0.0011289067471280561,2.55e+17,68900.0,74638.819549803506,35138.816908176479,0.046650212541493964,0.00039260079861653337,1110.0,0.0,0.0,-3900.0,0.010184600798616533,0.0,55.842991935883461,68709.308392550185,0.00022323986552242548,0.1116017147017683,0.495,0.0013197174146229174,0.066049699411014698,39500.002641627027,190.69160744981531,0.11414911058705396,15737.92797284709,1.53e+18,55262.658525574603,1.05,-1560.0,0.0,1030.0,3.03e+19,0.025000000000000001,0.39125012750642946,0.0,1.018348015770224e+19
