rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni,q,zbar2
5.00E-02,4.42E+19,4.30E+19,1.33E+03,1.35E+03,1.51E+03,1.86E+18,2.50E-02,1.3642659,2.965333333,-9.35E-01,2.32E+04,1.1991637,3.46E-01,6
5.50E-02,4.41E+19,4.29E+19,1.33E+03,1.35E+03,1.60E+03,1.86E+18,2.50E-02,1.242674,2.805473684,-1.24E+00,2.32E+04,1.1052657,3.52E-01,6
6.00E-02,4.40E+19,4.28E+19,1.33E+03,1.35E+03,1.69E+03,1.86E+18,2.50E-02,1.1502248,2.419454545,-1.61E+00,2.32E+04,1.0338402,3.58E-01,6
6.50E-02,4.39E+19,4.27E+19,1.33E+03,1.34E+03,1.79E+03,1.86E+18,2.50E-02,1.0797187,2.415454545,-2.05E+00,2.32E+04,0.97962016,3.63E-01,6
7.00E-02,4.38E+19,4.26E+19,1.33E+03,1.34E+03,1.89E+03,1.85E+18,2.50E-02,1.0267081,2.12208,-2.56E+00,2.32E+04,0.93980855,3.68E-01,6
7.50E-02,4.37E+19,4.24E+19,1.32E+03,1.34E+03,1.99E+03,1.85E+18,2.50E-02,0.98898673,2.036615385,-3.15E+00,2.32E+04,0.91215837,3.73E-01,6
8.00E-02,4.36E+19,4.23E+19,1.32E+03,1.33E+03,2.10E+03,1.84E+18,2.50E-02,0.96404743,1.957333333,-3.83E+00,2.32E+04,0.89618587,3.78E-01,6
8.50E-02,4.35E+19,4.22E+19,1.32E+03,1.33E+03,2.22E+03,1.84E+18,2.50E-02,0.95116997,1.363965517,-4.59E+00,2.32E+04,0.89028484,3.83E-01,6
9.00E-02,4.34E+19,4.20E+19,1.32E+03,1.33E+03,2.35E+03,1.84E+18,2.50E-02,0.9491353,1.754133333,-5.45E+00,2.32E+04,0.89431202,3.87E-01,6
9.50E-02,4.33E+19,4.19E+19,1.31E+03,1.32E+03,2.49E+03,1.83E+18,2.50E-02,0.95699519,1.64075,-6.41E+00,2.32E+04,0.90742189,3.92E-01,6
1.00E-01,4.32E+19,4.18E+19,1.31E+03,1.32E+03,2.63E+03,1.83E+18,2.50E-02,0.97252911,1.587151515,-7.48E+00,2.32E+04,0.92722321,3.97E-01,6
1.05E-01,4.30E+19,4.16E+19,1.31E+03,1.31E+03,2.79E+03,1.82E+18,2.50E-02,0.99042439,1.492685714,-8.66E+00,2.32E+04,0.94874656,4.01E-01,6
1.10E-01,4.29E+19,4.15E+19,1.30E+03,1.31E+03,2.94E+03,1.82E+18,2.50E-02,1.0001234,1.447333333,-9.95E+00,2.32E+04,0.96160454,4.06E-01,6
