rhor,er,er_sc,ne,ne_sc,ni,ni_sc,te,te_sc,ti,ti_sc
0.887,32.2735,0.04744,0.6182,0.97661,0.13945,0.43825,0.70811,0.08385,0.92008,0.0915
0.888,32.02979,0.04633,0.61797,0.97014,0.13934,0.45193,0.70513,0.08324,0.91653,0.09092
0.889,31.78621,0.04612,0.61775,0.96343,0.13923,0.46695,0.70214,0.08269,0.91297,0.09041
0.89,31.54471,0.04541,0.61752,0.95561,0.13913,0.48435,0.69915,0.08212,0.90942,0.08987
0.891,31.29815,0.04307,0.61729,0.94605,0.13903,0.50683,0.69616,0.08145,0.90586,0.08924
0.892,31.03553,0.04129,0.61706,0.93631,0.13894,0.53826,0.69317,0.08088,0.90231,0.0887
0.893,30.77242,0.04065,0.61683,0.92604,0.13885,0.58122,0.69017,0.0803,0.89875,0.08817
0.894,30.50691,0.04076,0.6166,0.91407,0.13877,0.64031,0.68716,0.07969,0.89519,0.0876
0.895,30.25075,0.03972,0.61636,0.90213,0.1387,0.72496,0.68416,0.07914,0.89163,0.08711
0.896,29.97695,0.0379,0.61612,0.88881,0.13864,0.85142,0.68115,0.07856,0.88806,0.08658
0.897,29.70132,0.03745,0.61588,0.87336,0.13858,1.05396,0.67813,0.07789,0.8845,0.08596
0.898,29.42746,0.03683,0.61563,0.8584,0.13854,1.43118,0.67512,0.07734,0.88094,0.08547
0.899,29.14856,0.03511,0.61538,0.84189,0.13852,2.35098,0.67209,0.07675,0.87737,0.08495
0.9,28.85417,0.03363,0.61513,0.82388,0.1385,7.67948,0.66907,0.07609,0.8738,0.08434
0.901,28.55762,0.03304,0.61487,0.80512,0.1385,-5.29227,0.66604,0.07547,0.87023,0.0838
0.902,28.26,0.03205,0.6146,0.78599,0.13852,-1.88434,0.663,0.07488,0.86666,0.08328
0.903,27.95252,0.03073,0.61433,0.7657,0.13856,-1.11553,0.65996,0.07426,0.86309,0.08274
0.904,27.63714,0.02982,0.61406,0.7442,0.13861,-0.77813,0.65692,0.07362,0.85952,0.08218
0.905,27.31948,0.02921,0.61377,0.72249,0.13868,-0.58966,0.65387,0.07302,0.85595,0.08167
0.906,26.99945,0.02819,0.61348,0.69993,0.13877,-0.46924,0.65081,0.07239,0.85237,0.08113
0.907,26.66784,0.02722,0.61317,0.67707,0.13888,-0.3865,0.64775,0.07178,0.8488,0.08063
