rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
4.00E-01,6.08E+19,4.11E+19,1507.1616,1665.0125,37556.583,1.90E+19,0.025,0.34837776,0.5245506,-359.11037,151398.18,0.2799665
4.05E-01,6.04E+19,4.07E+19,1498.7253,1651.0548,37524.563,1.91E+19,0.025,0.34511077,0.51616377,-372.75022,150444.79,0.28326592
4.10E-01,6.01E+19,4.03E+19,1490.245,1637.1196,37483.845,1.92E+19,0.025,0.3419278,0.5078411,-386.72278,149492.17,0.28721762
4.15E-01,5.98E+19,3.99E+19,1481.6886,1623.2262,37436.634,1.93E+19,0.025,0.33890581,0.49969738,-401.04659,148540.1,0.29195973
4.20E-01,5.94E+19,3.95E+19,1473.0589,1609.3757,37370.022,1.93E+19,0.025,0.33605078,0.49175678,-415.71574,147589.41,0.2976191
4.25E-01,5.91E+19,3.91E+19,1464.364,1595.5645,37293.163,1.94E+19,0.025,0.33342779,0.48411058,-430.7387,146640.69,0.3044278
4.30E-01,5.88E+19,3.87E+19,1455.643,1581.8193,37208.889,1.95E+19,0.025,0.33083904,0.4764455,-446.12236,145693.68,0.3123652
4.35E-01,5.85E+19,3.84E+19,1446.8522,1568.1322,37118.706,1.95E+19,0.025,0.32854,0.46910297,-461.87092,144748.27,0.32191014
4.40E-01,5.82E+19,3.81E+19,1437.9949,1554.5051,37014.427,1.95E+19,0.025,0.32632816,0.46184462,-477.97681,143805.72,0.33311707
4.45E-01,5.79E+19,3.77E+19,1429.0741,1540.9679,36898.705,1.96E+19,0.025,0.32434356,0.45483306,-494.45593,142866.64,0.34649307
4.50E-01,5.76E+19,3.74E+19,1420.1324,1527.5018,36778.519,1.96E+19,0.025,0.32238322,0.44777705,-511.31258,141930,0.36212644
4.55E-01,5.73E+19,3.72E+19,1411.128,1514.1182,36652.13,1.96E+19,0.025,0.32063833,0.44093666,-528.55121,140996.2,0.3804161
4.60E-01,5.71E+19,3.69E+19,1402.0641,1500.8487,36515.11,1.96E+19,0.025,0.31901872,0.43418319,-546.1635,140066.8,0.40192571
4.65E-01,5.68E+19,3.66E+19,1392.9477,1487.6609,36368.225,1.96E+19,0.025,0.31769398,0.42774051,-564.16597,139142.38,0.42760372
4.70E-01,5.66E+19,3.64E+19,1383.807,1474.5807,36221.455,1.96E+19,0.025,0.31646818,0.42133627,-582.56296,138220.61,0.45837861
4.75E-01,5.63E+19,3.62E+19,1374.6113,1461.6387,36073.864,1.96E+19,0.025,0.31538236,0.41499445,-601.35878,137303.47,0.49580276
