rhor,xne,xni,xte,xti,xer,fracz,exlti,exlte,vtorC,vpolC,fz1,exlni
5.15E-01,6.85E+19,5.18E+19,1921.4051,2305.9652,73408.958,0.025,0.27633899,0.27990867,200544.98,-742.6368,1.44E+19,0.96232617
5.20E-01,6.84E+19,5.16E+19,1902.6114,2283.0462,72884.056,0.025,0.27199072,0.27730159,198805.11,-764.47761,1.45E+19,0.9355703
5.25E-01,6.83E+19,5.15E+19,1883.9103,2260.0987,72354.271,0.025,0.26773569,0.27466757,197070.56,-786.74263,1.45E+19,0.90962869
5.30E-01,6.82E+19,5.13E+19,1865.3034,2237.1325,71810.814,0.025,0.26370016,0.27215581,195341.86,-809.43567,1.46E+19,0.88534838
5.35E-01,6.82E+19,5.11E+19,1846.7918,2214.1573,71265.083,0.025,0.25979051,0.26964737,193619.35,-832.56143,1.47E+19,0.86198819
5.40E-01,6.81E+19,5.10E+19,1828.3771,2191.1845,70713.73,0.025,0.25590357,0.26706289,191903.55,-856.12297,1.48E+19,0.8400327
5.45E-01,6.80E+19,5.08E+19,1810.0603,2168.2224,70148.521,0.025,0.25221467,0.26455295,190194.79,-880.12499,1.50E+19,0.8193984
5.50E-01,6.79E+19,5.07E+19,1791.8424,2145.2816,69587.143,0.025,0.24867305,0.2621049,188493.58,-904.57147,1.51E+19,0.80020964
5.55E-01,6.78E+19,5.05E+19,1773.7243,2122.3724,69018.715,0.025,0.24519275,0.25961532,186800.31,-929.46666,1.52E+19,0.78211719
5.60E-01,6.77E+19,5.03E+19,1755.7068,2099.5045,68438.927,0.025,0.24174127,0.25703272,185115.37,-954.81426,1.53E+19,0.76468933
5.65E-01,6.76E+19,5.01E+19,1737.7906,2076.6871,67866.15,0.025,0.23864725,0.25472953,183439.24,-980.61866,1.54E+19,0.74909979
5.70E-01,6.75E+19,5.00E+19,1719.9763,2053.9312,67284.599,0.025,0.23553048,0.25229757,181772.29,-1006.8839,1.55E+19,0.73404819
5.75E-01,6.74E+19,4.98E+19,1702.2645,2031.2469,66694.405,0.025,0.23242445,0.24977069,180114.97,-1033.6138,1.56E+19,0.71942836
5.80E-01,6.72E+19,4.96E+19,1684.6554,2008.6432,66113.091,0.025,0.22958195,0.24740517,178467.74,-1060.8128,1.57E+19,0.70621055
5.85E-01,6.71E+19,4.94E+19,1667.1493,1986.131,65521.477,0.025,0.22677344,0.24497463,176830.98,-1088.4848,1.58E+19,0.69351661
5.90E-01,6.70E+19,4.92E+19,1649.7465,1963.7197,64924.759,0.025,0.2241262,0.24261607,175205.12,-1116.6338,1.60E+19,0.68175089
5.95E-01,6.69E+19,4.91E+19,1632.4467,1941.4191,64338.013,0.025,0.22152652,0.2401951,173590.59,-1145.2644,1.61E+19,0.67049307
6.00E-01,6.68E+19,4.89E+19,1615.2504,1919.2396,63736.706,0.025,0.2190519,0.23780335,171987.85,-1174.3801,1.62E+19,0.65983242
6.05E-01,6.67E+19,4.87E+19,1598.1571,1897.1919,63146.03,0.025,0.21669127,0.23541642,170397.28,-1203.9847,1.63E+19,0.6498003
6.10E-01,6.66E+19,4.85E+19,1581.1666,1875.2847,62553.085,0.025,0.21442579,0.23302945,168819.29,-1234.0829,1.65E+19,0.64033079
6.15E-01,6.65E+19,4.83E+19,1564.2784,1853.5283,61953.106,0.025,0.21222007,0.23059256,167254.35,-1264.6786,1.66E+19,0.63128847
6.20E-01,6.64E+19,4.81E+19,1547.4922,1831.9329,61368.996,0.025,0.21020404,0.22824532,165702.91,-1295.7759,1.67E+19,0.62282395
6.25E-01,6.63E+19,4.79E+19,1530.8074,1810.5081,60791.271,0.025,0.20820132,0.2257938,164165.31,-1327.3787,1.69E+19,0.61440891
6.30E-01,6.61E+19,4.77E+19,1514.2231,1789.2644,60211.365,0.025,0.20646164,0.22350243,162642.01,-1359.4915,1.70E+19,0.60700077
